BarTp,Ask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDEUR Curncy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dates,USDEUR_High_Ask,USDEUR_Close_Ask,USDEUR_Open_Ask,USDEUR_Low_Ask,USDGBP_High_Ask,USDGBP_Close_Ask,USDGBP_Open_Ask,USDGBP_Low_Ask,USDEUR_High_Ask,USDEUR_Close_Bid,USDEUR_Open_Bid,USDEUR_Low_Bid,USDGBP_High_Bid,USDGBP_Close_Bid,USDGBP_Open_Bid,USDGBP_Low_Bid,USDJPY_High_Ask,USDJPY_Close_Ask,USDJPY_Open_Ask,USDJPY_Low_Ask,EURJPY_High_Ask,EURJPY_Close_Ask,EURJPY_Open_Ask,EURJPY_Low_Ask,EURGBP_High_Ask,EURGBP_Close_Ask,EURGBP_Open_Ask,EURGBP_Low_Ask,USDJPY_High_Bid,USDJPY_Close_Bid,USDJPY_Open_Bid,USDJPY_Low_Bid,EURJPY_High_Bod,EURJPY_Close_Bid,EURJPY_Open_Bid,EURJPY_Low_Bid,EURGBP_High_Bid,EURGBP_Close_Bid,EURGBP_Open_Bid,EURGBP_Low_Bid
25/5/2018 11:05,0.8539,0.8536,0.8539,0.8536,0.7489,0.7486,0.7489,0.7486,0.8539,0.8535,0.8539,0.8535,0.7489,0.7486,0.7489,0.7486,109.49,109.49,109.44,109.44,128.28,128.27,128.16,128.16,0.87721,0.87714,0.87704,0.87699,109.49,109.48,109.43,109.43,128.27,128.26,128.15,128.15,0.8773,0.87697,0.87725,0.87685
25/5/2018 11:10,0.8537,0.8533,0.8536,0.8533,0.7487,0.7486,0.7486,0.7484,0.8536,0.8532,0.8535,0.8532,0.7486,0.7485,0.7486,0.7484,109.49,109.44,109.49,109.44,128.28,128.26,128.27,128.23,0.87738,0.87735,0.87714,0.87701,109.49,109.44,109.48,109.44,128.27,128.25,128.26,128.22,0.87715,0.87708,0.87697,0.87692
25/5/2018 11:15,0.8533,0.8532,0.8533,0.8532,0.7488,0.7486,0.7486,0.7486,0.8533,0.8531,0.8533,0.8531,0.7487,0.7486,0.7485,0.7485,109.44,109.43,109.44,109.42,128.28,128.26,128.26,128.24,0.87763,0.87761,0.87735,0.87731,109.44,109.42,109.44,109.41,128.27,128.25,128.25,128.23,0.87733,0.87729,0.87708,0.87693
25/5/2018 11:20,0.8536,0.8536,0.8532,0.8532,0.749,0.749,0.7487,0.7487,0.8535,0.8535,0.8531,0.8531,0.7489,0.7489,0.7486,0.7486,109.45,109.44,109.43,109.43,128.27,128.22,128.26,128.21,0.87763,0.87757,0.87761,0.87749,109.45,109.44,109.42,109.42,128.26,128.21,128.25,128.2,0.87757,0.87754,0.87729,0.87726
25/5/2018 11:25,0.8536,0.8526,0.8536,0.8526,0.749,0.7485,0.749,0.7485,0.8535,0.8526,0.8535,0.8526,0.749,0.7485,0.749,0.7485,109.44,109.42,109.44,109.39,128.37,128.37,128.22,128.21,0.87803,0.878,0.87757,0.87754,109.44,109.42,109.44,109.39,128.36,128.36,128.21,128.2,0.87757,0.87751,0.87755,0.87741
25/5/2018 11:30,0.8528,0.8528,0.8526,0.8525,0.7485,0.7483,0.7485,0.7482,0.8527,0.8527,0.8525,0.8523,0.7485,0.7483,0.7485,0.7482,109.43,109.42,109.43,109.4,128.39,128.31,128.37,128.3,0.87803,0.87753,0.87801,0.87753,109.42,109.42,109.42,109.39,128.38,128.3,128.36,128.29,0.87797,0.87794,0.87751,0.87747
25/5/2018 11:35,0.8529,0.8528,0.8528,0.8527,0.7484,0.7484,0.7483,0.7483,0.8528,0.8528,0.8528,0.8527,0.7483,0.7483,0.7483,0.7482,109.44,109.41,109.42,109.4,128.34,128.29,128.31,128.28,0.87768,0.87758,0.87754,0.87752,109.43,109.41,109.42,109.4,128.33,128.28,128.3,128.27,0.87796,0.87746,0.87795,0.87745
25/5/2018 11:40,0.853,0.853,0.8529,0.8529,0.7486,0.7485,0.7484,0.7484,0.8529,0.8529,0.8529,0.8529,0.7485,0.7484,0.7484,0.7484,109.43,109.43,109.41,109.4,128.3,128.29,128.29,128.27,0.87768,0.87755,0.87758,0.87752,109.43,109.42,109.41,109.39,128.29,128.27,128.28,128.26,0.87761,0.8775,0.87746,0.87746
25/5/2018 11:45,0.8535,0.8535,0.853,0.853,0.7489,0.7489,0.7485,0.7485,0.8535,0.8535,0.853,0.8530,0.7489,0.7489,0.7484,0.7484,109.46,109.45,109.43,109.42,128.3,128.21,128.29,128.21,0.8777,0.8775,0.87757,0.87747,109.45,109.44,109.42,109.42,128.29,128.2,128.27,128.2,0.87761,0.87749,0.8775,0.87746
25/5/2018 11:50,0.854,0.854,0.8536,0.8536,0.7492,0.7492,0.749,0.7489,0.8539,0.8539,0.8536,0.8536,0.7492,0.7492,0.7489,0.7489,109.46,109.45,109.45,109.44,128.24,128.14,128.21,128.14,0.87762,0.87728,0.87748,0.87727,109.45,109.44,109.44,109.44,128.23,128.13,128.2,128.13,0.87764,0.87743,0.87749,0.87742
