Dates,P01,P10,P00,P11
09/01/2018 00:05,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 00:10,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 00:15,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 00:20,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 00:25,1.60E-02,4.16E-04,9.84E-01,1.00E+00
09/01/2018 00:30,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 00:35,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 00:40,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 00:45,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 00:50,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 00:55,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 01:00,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 01:05,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 01:10,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 01:15,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 01:20,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 01:25,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 01:30,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 01:35,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 01:40,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 01:45,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 01:50,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 01:55,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 02:00,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 02:05,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 02:10,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 02:15,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 02:20,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 02:25,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 02:30,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 02:35,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 02:40,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 02:45,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 02:50,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 02:55,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 03:00,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 03:05,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 03:10,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 03:15,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 03:20,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 03:25,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 03:30,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 03:35,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 03:40,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 03:45,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 03:50,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 03:55,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 04:00,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 04:05,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 04:10,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 04:15,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 04:20,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 04:25,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 04:30,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 04:35,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 04:40,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 04:45,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 04:50,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 04:55,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 05:00,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 05:05,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 05:10,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 05:15,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 05:20,4.16E-04,1.60E-02,1.00E+00,9.84E-01
