,0,1,2,3,4
_profit_USDEUR_ask_5_P00,[8.56413258],5.350631609254686e-06,-0.01101158860365708,-0.010374316604023949,"[[   0  499  160]
 [   0 3683 1092]
 [   0  468  136]]"
_profit_USDEUR_ask_5_P01,[7.44065116],3.341882992066438e-06,-0.011997819768396551,-0.011381290358929713,"[[   0  544  115]
 [   0 3876  899]
 [   0  474  130]]"
_profit_USDEUR_ask_5_P010,[7.73055066],3.988889858694922e-06,-0.01175600729223363,-0.011141290563710032,"[[   0  529  130]
 [   0 3842  933]
 [   0  487  117]]"
_profit_USDEUR_ask_5_P011,[8.6349141],3.59508233410005e-06,-0.012194675132799234,-0.011699885730462376,"[[   0  512  147]
 [   0 3777  998]
 [   0  465  139]]"
_profit_USDEUR_ask_5_P012,[4.63384604],2.6352017421206026e-06,-0.011364339303039593,-0.010122346732677248,"[[   0  563   96]
 [   0 4118  657]
 [   0  508   96]]"
_profit_USDEUR_ask_5_P013,[7.71454978],4.021432577632695e-06,-0.011730389755231455,-0.011110977087163227,"[[   0  552  107]
 [   0 3819  956]
 [   0  494  110]]"
_profit_USDEUR_ask_5_P014,[8.38424044],4.702250143404129e-06,-0.011518921533098038,-0.010931053545036151,"[[   0  531  128]
 [   0 3760 1015]
 [   0  479  125]]"
_profit_USDEUR_ask_5_P015,[9.29930968],5.696980572337393e-06,-0.01116622322059378,-0.01060394442355728,"[[   0  489  170]
 [   0 3658 1117]
 [   0  452  152]]"
_profit_USDEUR_ask_5_P016,[6.80986608],3.816031937810688e-06,-0.011537291761793748,-0.010792419390751122,"[[   0  524  135]
 [   0 3902  873]
 [   0  517   87]]"
_profit_USDEUR_ask_5_P017,[7.23048586],3.90716725803006e-06,-0.011558226564971841,-0.010862288705446616,"[[   0  550  109]
 [   0 3846  929]
 [   0  486  118]]"
_profit_USDEUR_ask_5_P018,[7.85548309],4.610607208108218e-06,-0.011267476623766315,-0.01059740250041866,"[[   0  528  131]
 [   0 3739 1036]
 [   0  462  142]]"
_profit_USDEUR_ask_5_P019,[6.84415162],4.160417595754201e-06,-0.011342359634032946,-0.010576426996211757,"[[   0  532  127]
 [   0 3935  840]
 [   0  495  109]]"
_profit_USDEUR_ask_5_P02,[7.8112484],4.24616804566528e-06,-0.011597692012033254,-0.010969372507936717,"[[   0  542  117]
 [   0 3819  956]
 [   0  480  124]]"
_profit_USDEUR_ask_5_P020,[9.10364105],4.899324286802481e-06,-0.01156103277058234,-0.011026903250849,"[[   0  510  149]
 [   0 3706 1069]
 [   0  467  137]]"
_profit_USDEUR_ask_5_P021,[8.28455642],4.8490966567540664e-06,-0.011452577563825556,-0.01085167941719308,"[[   0  517  142]
 [   0 3793  982]
 [   0  472  132]]"
_profit_USDEUR_ask_5_P022,[9.26757738],4.941465962787766e-06,-0.011579623002960879,-0.011057787821637173,"[[   0  519  140]
 [   0 3658 1117]
 [   0  474  130]]"
_profit_USDEUR_ask_5_P023,[7.74994091],4.551080210167404e-06,-0.011422400894223127,-0.010768638307722489,"[[   0  516  143]
 [   0 3851  924]
 [   0  487  117]]"
_profit_USDEUR_ask_5_P024,[8.41242601],4.801814246746522e-06,-0.01138920854038101,-0.010785040129728387,"[[   0  532  127]
 [   0 3710 1065]
 [   0  491  113]]"
_profit_USDEUR_ask_5_P03,[8.89863844],5.440531251587591e-06,-0.011164725895927602,-0.01057339642040649,"[[   0  487  172]
 [   0 3721 1054]
 [   0  470  134]]"
_profit_USDEUR_ask_5_P04,[8.45782814],4.418520270710879e-06,-0.011670415720008482,-0.011103628800465263,"[[   0  506  153]
 [   0 3778  997]
 [   0  468  136]]"
_profit_USDEUR_ask_5_P05,[7.11817385],3.2270498154263893e-06,-0.012052733868115522,-0.011416112787513553,"[[   0  554  105]
 [   0 3907  868]
 [   0  480  124]]"
